lead_id,created_date,channel,campaign,region,company_size,industry,acquisition_cost
L00338,2025-01-13,Email,Product Update,Canada,SMB,Retail,28.37
L00339,2025-06-16,Referral,Partner Referral,Canada,Enterprise,Healthcare,11.07
L00340,2025-06-04,Email,Product Update,US,Enterprise,Logistics,27.63
L00341,2025-05-02,Referral,Customer Referral,US,Enterprise,Logistics,17.48
L00342,2025-04-27,LinkedIn,Ops Leaders,UK,SMB,Healthcare,91.42
L00343,2025-03-21,Organic Search,Blog CTA,US,SMB,Healthcare,13.1
L00344,2025-05-19,Organic Search,Comparison Pages,US,SMB,Logistics,7.67
L00345,2025-06-08,Email,Reactivation,UK,SMB,Logistics,29.4
L00346,2025-04-17,Google Ads,Brand Campaign,US,SMB,SaaS,56.47
L00347,2025-03-17,Organic Search,Comparison Pages,Canada,Mid-Market,SaaS,3.89
L00348,2025-03-19,LinkedIn,Ops Leaders,Canada,Enterprise,Logistics,70.91
L00349,2025-01-27,Referral,Customer Referral,US,SMB,Healthcare,17.89
L00350,2025-04-05,Email,Nurture Flow,US,SMB,SaaS,22.16
L00351,2025-02-19,Referral,Customer Referral,Canada,Enterprise,SaaS,11.34
L00352,2025-02-07,Google Ads,Competitor Terms,Canada,SMB,SaaS,94.31
L00353,2025-05-19,Email,Nurture Flow,US,SMB,Retail,22.94
L00354,2025-02-11,Organic Search,Blog CTA,US,SMB,Manufacturing,3.6
L00355,2025-06-01,Organic Search,SEO Evergreen,US,SMB,Retail,5.52
L00356,2025-02-26,Email,Reactivation,US,Mid-Market,Retail,15.18
L00357,2025-01-16,Google Ads,Competitor Terms,US,SMB,Finance,104.09
L00358,2025-04-25,Email,Reactivation,US,SMB,Finance,13.99
L00359,2025-06-17,Referral,Partner Referral,US,Enterprise,Manufacturing,12.27
L00360,2025-04-04,Email,Reactivation,UK,Mid-Market,Finance,23.71
L00361,2025-06-04,Google Ads,Brand Campaign,US,SMB,Retail,99.44
L00362,2025-06-28,LinkedIn,ABM Decision Makers,US,Mid-Market,Manufacturing,74.03
L00363,2025-03-01,Google Ads,Brand Campaign,UK,Mid-Market,Manufacturing,59
L00364,2025-06-02,Google Ads,Brand Campaign,US,SMB,Logistics,46.25
L00365,2025-03-13,Organic Search,SEO Evergreen,UK,Mid-Market,Finance,13.6
L00366,2025-06-28,Organic Search,Blog CTA,Canada,Mid-Market,Healthcare,3.98
L00367,2025-05-17,Webinar,Workflow Optimization Session,US,Mid-Market,SaaS,28.01
L00368,2025-03-06,Email,Reactivation,US,Mid-Market,Finance,17.48
L00369,2025-04-26,LinkedIn,ABM Decision Makers,Canada,Enterprise,Retail,87.04
L00370,2025-06-27,Organic Search,SEO Evergreen,US,Enterprise,Manufacturing,14.78
L00371,2025-02-12,Google Ads,Competitor Terms,US,SMB,Finance,66.76
L00372,2025-06-10,Webinar,Finance Automation Webinar,US,Mid-Market,Retail,41.04
L00373,2025-04-15,Referral,Customer Referral,UK,Mid-Market,Finance,18.95
L00374,2025-01-27,LinkedIn,ABM Decision Makers,Canada,Enterprise,SaaS,68.31
L00375,2025-03-25,LinkedIn,Ops Leaders,Canada,SMB,SaaS,119.56
L00376,2025-02-10,Organic Search,Blog CTA,US,SMB,Logistics,11.95
L00377,2025-05-28,Referral,Partner Referral,Canada,Mid-Market,Manufacturing,9.79
L00378,2025-03-03,Email,Product Update,US,Mid-Market,Retail,21.73
L00379,2025-06-18,Referral,Partner Referral,US,Enterprise,Retail,5.69
L00380,2025-06-01,Organic Search,SEO Evergreen,US,SMB,Finance,7.97
L00381,2025-06-29,Organic Search,SEO Evergreen,UK,SMB,Manufacturing,7.4
L00382,2025-05-11,Referral,Customer Referral,US,SMB,Manufacturing,18.44
L00383,2025-04-14,LinkedIn,Ops Leaders,Canada,Enterprise,Healthcare,71.87
L00384,2025-03-03,Google Ads,Competitor Terms,US,Enterprise,Manufacturing,87.03
L00385,2025-02-03,Email,Nurture Flow,Canada,SMB,Healthcare,17.74
L00386,2025-05-23,Email,Nurture Flow,US,Enterprise,Manufacturing,20.2
L00387,2025-06-09,Webinar,Finance Automation Webinar,US,SMB,SaaS,58.32
L00388,2025-02-01,Google Ads,Search Campaign,Canada,SMB,Healthcare,70.34
L00389,2025-05-27,Organic Search,SEO Evergreen,US,Mid-Market,Logistics,6.11
L00390,2025-06-30,Email,Nurture Flow,US,Mid-Market,SaaS,13.96
L00391,2025-06-12,Referral,Customer Referral,US,SMB,Logistics,15.46
L00392,2025-02-24,Referral,Customer Referral,Canada,Enterprise,Manufacturing,9.21
L00393,2025-06-28,Email,Reactivation,US,SMB,Healthcare,11.17
L00394,2025-01-05,Referral,Customer Referral,US,Enterprise,Retail,12.04
L00395,2025-05-15,Google Ads,Competitor Terms,UK,Enterprise,SaaS,48.65
L00396,2025-06-22,Referral,Partner Referral,UK,Mid-Market,Retail,12.21
L00397,2025-06-21,LinkedIn,ABM Decision Makers,US,SMB,Logistics,104.47
L00398,2025-06-06,Email,Nurture Flow,US,SMB,Healthcare,20.82
L00399,2025-03-22,Webinar,Workflow Optimization Session,Canada,SMB,Healthcare,49.38
L00400,2025-06-21,Google Ads,Brand Campaign,US,Enterprise,Healthcare,77.16
L00401,2025-05-02,Referral,Customer Referral,Canada,Enterprise,Manufacturing,17.53
L00402,2025-03-24,Google Ads,Search Campaign,Canada,Mid-Market,Healthcare,74.88
L00403,2025-04-09,Email,Reactivation,US,SMB,Logistics,23.19
L00404,2025-02-09,Google Ads,Competitor Terms,Canada,SMB,Retail,88.12
L00405,2025-03-03,Webinar,Workflow Optimization Session,US,SMB,SaaS,36.35
L00406,2025-01-26,Email,Product Update,US,Enterprise,SaaS,19.5
L00407,2025-05-25,Google Ads,Competitor Terms,US,SMB,Retail,94.22
L00408,2025-01-11,Google Ads,Brand Campaign,US,Enterprise,Finance,97.16
L00409,2025-06-30,Referral,Partner Referral,US,SMB,SaaS,18.76
L00410,2025-01-16,Organic Search,Blog CTA,US,Mid-Market,Finance,4.67
L00411,2025-02-01,Organic Search,Comparison Pages,US,Mid-Market,Retail,6.15
L00412,2025-06-16,LinkedIn,Ops Leaders,US,SMB,Retail,126.2
L00413,2025-01-02,Email,Product Update,US,Mid-Market,SaaS,13.52
L00414,2025-06-01,Organic Search,Blog CTA,Canada,Mid-Market,Manufacturing,5.55
L00415,2025-03-09,Email,Nurture Flow,Canada,Mid-Market,Healthcare,9.13
L00416,2025-06-08,Referral,Partner Referral,US,Mid-Market,Logistics,11.44
L00417,2025-02-13,Webinar,Finance Automation Webinar,US,Enterprise,Finance,60.34
L00418,2025-05-09,Email,Product Update,US,Mid-Market,SaaS,27.32
L00419,2025-03-24,Referral,Partner Referral,UK,Mid-Market,SaaS,5.59
L00420,2025-04-30,Email,Reactivation,UK,SMB,Finance,11.42
L00421,2025-06-19,Email,Product Update,Canada,SMB,Finance,26.63
L00422,2025-06-04,Webinar,Finance Automation Webinar,US,SMB,Healthcare,42.99
L00423,2025-06-26,Google Ads,Competitor Terms,US,Enterprise,Retail,63.95
L00424,2025-01-24,Organic Search,SEO Evergreen,US,SMB,Retail,5.16
L00425,2025-01-17,Referral,Customer Referral,UK,Mid-Market,Healthcare,5.55
L00426,2025-06-06,Organic Search,SEO Evergreen,UK,SMB,Healthcare,13.82
L00427,2025-04-18,LinkedIn,Finance Leaders,US,SMB,SaaS,67.65
L00428,2025-06-08,Webinar,Finance Automation Webinar,US,SMB,Retail,39.12
L00429,2025-03-13,LinkedIn,ABM Decision Makers,US,Mid-Market,Manufacturing,69.46
L00430,2025-02-09,Email,Reactivation,US,Mid-Market,SaaS,16.29
L00431,2025-02-03,Google Ads,Search Campaign,US,SMB,Finance,91.11
L00432,2025-01-05,Referral,Customer Referral,UK,Enterprise,Manufacturing,16.11
L00433,2025-05-23,Email,Reactivation,Canada,Mid-Market,SaaS,24.12
L00434,2025-05-11,Referral,Partner Referral,US,Mid-Market,Finance,8.35
L00435,2025-01-13,Webinar,Workflow Optimization Session,US,Mid-Market,SaaS,36.9
L00436,2025-03-21,Email,Nurture Flow,US,Mid-Market,Healthcare,13.81
L00437,2025-04-04,Webinar,Workflow Optimization Session,Canada,Enterprise,Manufacturing,50.8
L00438,2025-02-12,Referral,Partner Referral,US,SMB,Finance,17.19
L00439,2025-04-11,Email,Nurture Flow,US,SMB,Retail,26.63
L00440,2025-02-09,Email,Reactivation,Canada,Mid-Market,Logistics,15.99
L00441,2025-01-23,Webinar,Finance Automation Webinar,Canada,Enterprise,Healthcare,66.27
L00442,2025-05-13,LinkedIn,ABM Decision Makers,US,SMB,Logistics,103.13
L00443,2025-04-09,Webinar,Finance Automation Webinar,US,Enterprise,SaaS,56.37
L00444,2025-02-15,Google Ads,Brand Campaign,UK,Enterprise,Retail,63.36
L00445,2025-04-23,Webinar,Workflow Optimization Session,UK,Enterprise,Logistics,27.78
L00446,2025-05-19,Google Ads,Brand Campaign,Canada,SMB,Logistics,67.02
L00447,2025-05-22,Email,Nurture Flow,US,Mid-Market,Logistics,20.82
L00448,2025-04-25,Email,Nurture Flow,US,SMB,Logistics,24.11
L00449,2025-04-07,Email,Nurture Flow,UK,Mid-Market,Manufacturing,23.4
L00450,2025-01-03,Webinar,Finance Automation Webinar,US,Mid-Market,Manufacturing,51.75
L00451,2025-02-23,Google Ads,Competitor Terms,US,Enterprise,SaaS,69.68
L00452,2025-02-18,Organic Search,SEO Evergreen,US,SMB,SaaS,14.55
L00453,2025-06-07,Email,Nurture Flow,US,Mid-Market,Healthcare,17.41
L00454,2025-06-11,Webinar,Finance Automation Webinar,US,Mid-Market,Finance,31.94
L00455,2025-01-23,Google Ads,Brand Campaign,Canada,SMB,Healthcare,62.73
L00456,2025-06-24,Organic Search,SEO Evergreen,US,SMB,Finance,5.76
L00457,2025-01-09,Google Ads,Brand Campaign,US,Mid-Market,Finance,60.6
L00458,2025-01-14,LinkedIn,Ops Leaders,US,SMB,Healthcare,72.95
L00459,2025-03-23,Email,Product Update,US,Mid-Market,Healthcare,22
L00460,2025-05-23,Google Ads,Search Campaign,Canada,SMB,Finance,90.58
L00461,2025-06-15,Referral,Partner Referral,US,SMB,Logistics,11.44
L00462,2025-02-25,LinkedIn,ABM Decision Makers,US,Mid-Market,SaaS,89.16
L00463,2025-02-09,Webinar,Workflow Optimization Session,Canada,SMB,SaaS,36.9
L00464,2025-06-19,LinkedIn,ABM Decision Makers,Canada,Mid-Market,SaaS,116.85
L00465,2025-04-20,Email,Nurture Flow,Canada,Enterprise,Retail,20.9
L00466,2025-01-28,Organic Search,Comparison Pages,US,SMB,Logistics,5.7
L00467,2025-01-21,Referral,Customer Referral,US,SMB,Healthcare,17.93
L00468,2025-01-13,Referral,Customer Referral,US,Mid-Market,Manufacturing,18.27
L00469,2025-04-28,LinkedIn,Ops Leaders,US,Enterprise,Healthcare,109.78
L00470,2025-03-07,Google Ads,Competitor Terms,Canada,SMB,Logistics,101.44
L00471,2025-04-20,Email,Reactivation,Canada,Mid-Market,SaaS,8.14
L00472,2025-05-05,Email,Nurture Flow,US,SMB,Retail,18.76
L00473,2025-04-13,Email,Product Update,Canada,Enterprise,Manufacturing,24.72
L00474,2025-05-04,Organic Search,SEO Evergreen,UK,SMB,Healthcare,9.84
L00475,2025-03-10,Email,Nurture Flow,US,Mid-Market,Manufacturing,9.04
L00476,2025-05-29,Email,Product Update,Canada,SMB,Logistics,13.32
L00477,2025-01-24,Email,Product Update,Canada,SMB,Manufacturing,18.32
L00478,2025-03-30,Referral,Partner Referral,Canada,SMB,Finance,8.49
L00479,2025-02-04,LinkedIn,Ops Leaders,US,Enterprise,Manufacturing,61.9
L00480,2025-01-23,Google Ads,Search Campaign,US,Enterprise,SaaS,71.39
L00481,2025-03-16,Email,Product Update,US,SMB,Retail,19.99
L00482,2025-06-05,Google Ads,Search Campaign,Canada,Enterprise,Retail,52.45
L00483,2025-02-23,Google Ads,Competitor Terms,US,Enterprise,Logistics,78.65
L00484,2025-02-25,LinkedIn,Ops Leaders,US,Mid-Market,Manufacturing,124.17
L00485,2025-01-19,Email,Reactivation,US,SMB,Healthcare,9.8
L00486,2025-05-28,Organic Search,SEO Evergreen,Canada,SMB,Manufacturing,9.41
L00487,2025-04-14,LinkedIn,Finance Leaders,US,Mid-Market,Healthcare,61.55
L00488,2025-06-08,Referral,Customer Referral,US,Mid-Market,Logistics,5.19
L00489,2025-01-04,Email,Product Update,US,Enterprise,Retail,12.02
L00490,2025-04-02,LinkedIn,Ops Leaders,US,Mid-Market,Retail,62.36
L00491,2025-01-16,Referral,Partner Referral,US,Enterprise,Logistics,19.48
L00492,2025-05-26,LinkedIn,Finance Leaders,US,Mid-Market,SaaS,64.25
L00493,2025-02-27,Referral,Partner Referral,US,Mid-Market,Finance,18.38
L00494,2025-01-29,Email,Nurture Flow,US,Enterprise,Retail,9.35
L00495,2025-04-02,Google Ads,Search Campaign,US,SMB,Healthcare,93.48
L00496,2025-04-04,Email,Reactivation,Canada,Mid-Market,Retail,13.15
L00497,2025-06-18,Organic Search,SEO Evergreen,US,SMB,Retail,10.11
L00498,2025-04-11,Email,Nurture Flow,UK,Mid-Market,Finance,16.42
L00499,2025-02-25,Email,Product Update,Canada,Mid-Market,Manufacturing,15.23
L00500,2025-03-11,LinkedIn,ABM Decision Makers,US,SMB,Healthcare,96.38
